Company Name,Type of Partner,Partner Specs,Address,Contact Number,Email,Country Name,Pincode
Elite IT Management LLC,BUSINESS Partner,,87 Ruth Ave,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Rumford, RI 02916",,,,
,,,-9197946,,,,
,,,jason@eliteitmanagement.com,,,,
,,,Visit Website,,,,
Genesys Consulting Associates,BUSINESS Partner,,309 BLACKSTONE BLVD,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"PROVIDENCE, RI 02906",,,,
,,,-3510450,,,,
,,,steve@genesysca.com,,,,
,,,Visit Website,,,,
Envision Technology Advisors LLC,BUSINESS Partner,,951 N MAIN ST UNIT 1,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"PROVIDENCE, RI 02904",,,,
,,,-2727088,,,,
,,,josh@envisionsuccess.net,,,,
,,,Visit Website,,,,
Technical Support International,BUSINESS Partner,,10 Mechanic St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Foxborough, MA 02035-2076",,,,
,,,-5437486,,,,
,,,glouise@tsisupport.com,,,,
,,,Visit Website,,,,
New England Network Associates LLC,BUSINESS Partner,,25 OLD COLONY RD,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"FOXBORO, MA 02035",,,,
,,,-6625807,,,,
,,,sales@nenetwork.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,551 N Main St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Providence, RI 02904-5722",,,,
,,,-2723228,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Industrial Defender Inc,BUSINESS Partner,,16 Chestnut StSte 300,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Foxborough, MA 02035",,,,
,,,-7187207,,,,
,,,jgennari@industrialdefender.com,,,,
,,,Visit Website,,,,
Carandasupply.com,BUSINESS Partner,,1 Emilys Way,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"North Providence, RI 02904",,,,
,,,-3910515,,,,
,,,ccaranda@ccaranda.biz,,,,
,,,Visit Website,,,,
Output Management Group,BUSINESS Partner,,42 Cherry StSte 301,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Woonsocket, RI 02895",,,,
,,,-3771696,,,,
,,,mmoylan@outputmgroup.com,,,,
,,,Visit Website,,,,
Software Sources,BUSINESS Partner,,14 Ephriam Dr,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-7402557,,,,
,,,jedonlan@softwaresources.com,,,,
,,,Visit Website,,,,
Reliable IT LLC,BUSINESS Partner,,215 N Brow St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"East Providence, RI 02914-4417",,,,
,,,-7325988,,,,
,,,info@reliable-it.net,,,,
,,,Visit Website,,,,
DMAC Technology Group Inc,BUSINESS Partner,,328 Maple St,-3337411,dlydeard@ccri.edu,United States of America ,72201
,,,"Mansfield, MA 02048",,,,
,,,-2389301,,,,
,,,daron@dmac-tech.com,,,,
,,,Visit Website,,,,
Computer Associates Inc,BUSINESS Partner,,36 THURBER BLVD,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"SMITHFIELD, RI 02917",,,,
,,,-2323000,,,,
,,,ts-notify@caisoft.com@cainetserv.com,,,,
,,,Visit Website,,,,
RISD Store,BUSINESS Partner,,30 N Main St,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02903",,,,
,,,-4546863,,,,
,,,mbilodea@risd.edu,,,,
,,,Visit Website,,,,
Flo-Tech LLC,BUSINESS Partner,,235 Promenade St Ste 104,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02908",,,,
,,,-2131911,,,,
,,,leo.bonetti@flotech.net,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,1 Providence Pl,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02903-1739",,,,
,,,-3101669,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Core Business Technologies,BUSINESS Partner,,2224 Pawtucket Ave,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"East Providence, RI 02914-1716",,,,
,,,+1-401-4310700 X1407,,,,
,,,jthomson@corebt.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,360 Patriot Pl,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Foxboro, MA 02035-5102",,,,
,,,-6982397,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Active Data Solutions LLC,BUSINESS Partner,,10 Dorrance St Ste 700,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02903-2014",,,,
,,,-3520565,,,,
,,,hp@active-data-solutions.com,,,,
,,,Visit Website,,,,
NetSoft Inc,BUSINESS Partner,,333 WESTMINSTER ST STE 5,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"PROVIDENCE, RI 02903",,,,
,,,-2237700,,,,
,,,sdaniels@netsoft-inc.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,75 Eagle St,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02909-1081",,,,
,,,-4541662,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Ananke Inc,BUSINESS Partner,,14 Imperial PlSte 202,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Providence, RI 02903-4638",,,,
,,,-3313180,,,,
,,,sales@ananke.com,,,,
,,,Visit Website,,,,
Lindenmeyr Munroe,BUSINESS Partner,,190 Mechanic St,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Bellingham, MA 02019-3106",,,,
,,,-5290330,,,,
,,,erapa@lindenmeyr.com,,,,
,,,Visit Website,,,,
Joseph Merritt & Company Inc,BUSINESS Partner,,681 WESTMINSTER ST,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"PROVIDENCE, RI 02903",,,,
,,,-2729460,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,230 Smithfield Xing,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Smithfield, RI 02917",,,,
,,,-2323933,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
General Dynamics C4 Systems Inc,BUSINESS Partner,,400 John Quincy Adams Rd,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Taunton, MA 02780-1036",,,,
,,,-4416891,,,,
,,,steven.parker@gdc4s.com,,,,
,,,Visit Website,,,,
Westminster Information Technology LLC,BUSINESS Partner,,1570 WESTMINSTER ST,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"PROVIDENCE, RI 02909",,,,
,,,-2565585,,,,
,,,jph@westminsterit.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,175 Highland Ave,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Seekonk, MA 02771-5817",,,,
,,,-5592033,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,175 W Highland Ave,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Seekonk, MA 02771-5817",,,,
,,,-5551157,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Braver Technology Solutions LLC,BUSINESS Partner,,705 Myles Standish Blvd,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Taunton, MA 02780",,,,
,,,-8242767,,,,
,,,Visit Website,,,,
Alliance Business Products,BUSINESS Partner,,21 Industrial Dr,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"Smithfield, RI 02917",,,,
,,,-2332288,,,,
,,,lindah@alliancebp.com,,,,
,,,Visit Website,,,,
CTS Services Inc,BUSINESS Partner,,260 MAPLE ST,-2323000,ts-notify@caisoft.com@cainetserv.com,United States of America ,72201
,,,"BELLINGHAM, MA 02019",,,,
,,,-5288227,,,,
,,,MCARLOW@CTSSERVICES.COM,,,,
,,,Visit Website,,,,
Best Buy,BUSINESS Partner,,41 Commerce Way,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Seekonk, MA 02771-5816",,,,
,,,-3391898,,,,
,,,hpportal@bestbuy.com,,,,
,,,Visit Website,,,,
D Littlehale & Associates Inc,BUSINESS Partner,,126 PROVIDENCE ST,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"REHOBOTH, MA 02769",,,,
,,,-3364861,,,,
,,,dla85@comcast.net,,,,
,,,Visit Website,,,,
Freedom Tech Inc,BUSINESS Partner,,920 HARTFORD AVE,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"JOHNSTON, RI 02919",,,,
,,,-9400839,,,,
,,,fmagliari@freedomtechit.com,,,,
,,,Visit Website,,,,
ARC Rhode Island,BUSINESS Partner,,335 Webster Ave,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Cranston, RI 02920-7731",,,,
,,,-9423625,,,,
,,,Visit Website,,,,
Best Buy,BUSINESS Partner,,140 Depot St,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Bellingham, MA 02019-1438",,,,
,,,-2379176,,,,
,,,hpportal@bestbuy.com,,,,
,,,Visit Website,,,,
Patrol Data,BUSINESS Partner,,1128 Narragansett BlvdSte 1,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Cranston, RI 02905",,,,
,,,-9420444,,,,
,,,cbrathas@patroldata.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,284 Hartford AveStallbrood Marketplace,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Bellingham, MA 02019-3000",,,,
,,,-9661707,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
First Resource Computer Inc,BUSINESS Partner,,590 Reservoir Ave,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Cranston, RI 02910",,,,
,,,-9412900,,,,
,,,bin.rao@frcomputers.com,,,,
,,,Visit Website,,,,
Axion Business Technologies,BUSINESS Partner,,832 Dyer Ave,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Cranston, RI 02920",,,,
,,,-4387022,,,,
,,,robertferland@axionbt.com,,,,
,,,Visit Website,,,,
Eastern Technology Solutions LLC,BUSINESS Partner,,203 HORNBINE RD,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"REHOBOTH, MA 02769",,,,
,,,-6541581,,,,
,,,drousseau@easterntechsolutions.com,,,,
,,,Visit Website,,,,
ValuTrack,BUSINESS Partner,,133 MAIN ST STE 300,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"MEDWAY, MA 02053",,,,
,,,-8259247,,,,
,,,kps@valutrack.com,,,,
,,,Visit Website,,,,
Micro Financial Computer Systems Inc,BUSINESS Partner,,89 Main StSte 204,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Medway, MA 02053",,,,
,,,-5331740,,,,
,,,sean@microfinancial.net,,,,
,,,Visit Website,,,,
Datasmith Network Solutions,BUSINESS Partner,,896 MAIN ST STE 1,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"WALPOLE, MA 02081",,,,
,,,-6682443,,,,
,,,steves@datasmithnetworks.com,,,,
,,,Visit Website,,,,
Circle Computer Inc,BUSINESS Partner,,466 HIGH PLAIN ST,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"WALPOLE, MA 02081",,,,
,,,-6689285,,,,
,,,CIRCLECO@CIRCLECOMPUTER.COM,,,,
,,,Visit Website,,,,
Circle Computer Inc,BUSINESS Partner,,466 High Plain St,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Walpole, MA 02081-4250",,,,
,,,-6689285,,,,
,,,Visit Website,,,,
Metropolitan Telephone Co Inc,BUSINESS Partner,,777 PROVIDENCE HWY,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"WALPOLE, MA 02081",,,,
,,,-4375,,,,
,,,Sales@Mettel.com,,,,
,,,Visit Website,,,,
PacketLogix Inc,BUSINESS Partner,,140 LINCOLN AVE,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"BARRINGTON, RI 02806",,,,
,,,-2837207,,,,
,,,jennifer@packetlogix.com,,,,
,,,Visit Website,,,,
Tech Surgeons,BUSINESS Partner,,907 Warwick Ave,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Warwick, RI 02888",,,,
,,,-7845122,,,,
,,,michael@techsurgeonsri.com,,,,
,,,Visit Website,,,,
The Apex Technology Group Inc,BUSINESS Partner,,2158 Plainfield Pike,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Cranston, RI 02921",,,,
,,,-2773400,,,,
,,,bhubert@apextechgroup.com,,,,
,,,Visit Website,,,,
Fairoaks Consulting Inc,BUSINESS Partner,,10 Industrial Rd,-3391898,hpportal@bestbuy.com,United States of America ,72201
,,,"Milford, MA 01757",,,,
,,,-5436047,,,,
,,,tom@fairoaksconsulting.com,,,,
,,,Visit Website,,,,
Northeast Copier Systems,BUSINESS Partner,,23 Birch St,-4784037,Visit Website,United States of America ,72201
,,,"Milford, MA 01757",,,,
,,,-4784037,,,,
,,,Visit Website,,,,
Hub Technical Services,BUSINESS Partner,Storage Specialist - Silver,50 Stoney View Dr,-4784037,Visit Website,United States of America ,72201
,,Service Specialist - Gold,"Cumberland, RI 02864",,,,
,,Server Specialist - Gold,-4829200,,,,
,,,robert@hubtechnical.com,,,,
,,,Visit Website,,,,
Hub Technical Services,BUSINESS Partner,,44 NORFOLK AVE STE 4,-4784037,Visit Website,United States of America ,72201
,,,"SOUTH EASTON, MA 02375",,,,
,,,-4829200,,,,
,,,jlovetere@hubtechnical.com,,,,
,,,Visit Website,,,,
CompuCom IT Solutions Inc,PLATINUM Partner,Networking Specialist - Platinum,1812 Tribute Rd Ste C,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Sacramento, CA 95815-4311",,,,
,,Infrastructure Specialist - Platinum,-5696115,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
CompuCom IT Solutions Inc,PLATINUM Partner,Networking Specialist - Platinum,1812 Tribute Rd Ste C,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Sacramento, CA 95815",,,,
,,Infrastructure Specialist - Platinum,-5696115,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Compucom Systems,PLATINUM Partner,Networking Specialist - Platinum,3320 Data DrSte 100,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Rancho Cordova, CA 95670-7351",,,,
,,Infrastructure Specialist - Platinum,-5633729,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
CompuCom IT Solutions Inc,PLATINUM Partner,Networking Specialist - Platinum,10901 Gold Ctr DrSte 225,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Rancho Cordova, CA 95670-6056",,,,
,,Infrastructure Specialist - Platinum,-2974742,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
HPM Networks,PLATINUM Partner,Networking Specialist - Platinum,1401 El Camino AveSte 110,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Sacramento, CA 95815-2744",,,,
,,Infrastructure Specialist - Platinum,-5651685,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Pomeroy,PLATINUM Partner,Networking Specialist - Platinum,2528 Las Casas Way,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"Rancho Cordova, CA 95670",,,,
,,Infrastructure Specialist - Platinum,-3637890,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
Western Blue Corp,PLATINUM Partner,Networking Specialist - Platinum,11931 FOUNDATION PL Ste 250,-5696115,jgroat@compucom.com,United States of America ,94203
,,Storage Specialist - Platinum,"GOLD RIVER, CA 95670",,,,
,,Infrastructure Specialist - Platinum,-3661623,,,,
,,Hyper-converged Specialist,sgrosso@nwnit.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
MyOfficeProducts Inc,PLATINUM Partner,Storage Specialist - Gold,4009 Seaport Blvd,-5696115,jgroat@compucom.com,United States of America ,94203
,,Server Specialist - Gold,"West Sacramento, CA 95691-3416",,,,
,,,-5196689,,,,
,,,jbaron@hitouchservices.com,,,,
,,,Visit Website,,,,
SHI International Corp,PLATINUM Partner,Networking Specialist - Platinum,2041 ROSECRANS AVE STE 320,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"EL SEGUNDO, CA 90245",,,,
,,HPE Security ArcSight Specialist - Gold,-7649619,,,,
,,Infrastructure Specialist - Platinum,Bill_Wyckoff@shi.com,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist - Platinum,,,,,
,,HPE Security Fortify Specialist - Gold,,,,,
,,Cloud Specialist - Gold,,,,,
World Wide Technology Inc.,PLATINUM Partner,Networking Specialist - Platinum,1165 W Walnut St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Compton, CA 90220-5113",,,,
,,HPE Security ArcSight Specialist - Gold,-5378644,,,,
,,Infrastructure Specialist - Platinum,Shannon.Thomas@wwt.com,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Compucom Systems,PLATINUM Partner,Networking Specialist - Platinum,520 S Grand AveSte 1070,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Los Angeles, CA 90071-2613",,,,
,,Infrastructure Specialist - Platinum,-5337212,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Compucom System Inc/Dreamworks,PLATINUM Partner,Networking Specialist - Platinum,4228 W 129th St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Hawthorne, CA 90250-5209",,,,
,,Infrastructure Specialist - Platinum,-4770508,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Logicalis,PLATINUM Partner,Networking Specialist - Platinum,5230 Pacific Concourse Ste 200,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Los Angeles, CA 90245",,,,
,,Infrastructure Specialist - Platinum,-6434826,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Forsythe Solutions Group,PLATINUM Partner,Networking Specialist - Platinum,400 Continental Blvd Fl 6,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"El Segundo, CA 90245-5074",,,,
,,Infrastructure Specialist - Platinum,-2137846,,,,
,,Hyper-converged Specialist,info@forsythe.com,,,,
,,HPE Security - Data Security Specialist - Silver,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
En Pointe Technologies At ARCO,PLATINUM Partner,Networking Specialist - Platinum,333 S Hope St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Los Angeles, CA 90071-1406",,,,
,,Infrastructure Specialist - Platinum,-9639064,,,,
,,Hyper-converged Specialist,marketing@enpointe.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
En Pointe Technologies Sales LLC,PLATINUM Partner,Networking Specialist - Platinum,18701 S Figueroa St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Gardena, CA 90248-4506",,,,
,,Infrastructure Specialist - Platinum,-3375509,,,,
,,Hyper-converged Specialist,marketing@enpointe.com,,,,
,,Server Specialist - Platinum,Visit Website,,,,
Pomeroy,PLATINUM Partner,Networking Specialist - Platinum,17428 Kornblum Ave,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"Torrance, CA 90504",,,,
,,Infrastructure Specialist - Platinum,-9263258,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
En Pointe IT Solutions,PLATINUM Partner,Networking Specialist - Platinum,2121 RosecransSte 4310,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist - Platinum,"El Segundo, CA 90245",,,,
,,Infrastructure Specialist - Platinum,-2254340,,,,
,,Hyper-converged Specialist,,,,,
,,Server Specialist - Platinum,,,,,
PCM Sales,PLATINUM Partner,Networking Specialist,1940 E Mariposa Ave,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist,"El Segundo, CA 90245-3457",,,,
,,Infrastructure Specialist,-3545909,,,,
,,Hyper-converged Specialist,sales@pcm.com,,,,
,,HPE Security - Data Security Specialist - Silver,Visit Website,,,,
,,Server Specialist,,,,,
PCM Sales,PLATINUM Partner,Networking Specialist,1940 E Mariposa Ave,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist,"El Segundo, CA 90245-3467",,,,
,,Infrastructure Specialist,-3545909,,,,
,,Hyper-converged Specialist,sales@pcm.com,,,,
,,HPE Security - Data Security Specialist - Silver,Visit Website,,,,
,,Server Specialist,,,,,
PCM Sales,PLATINUM Partner,Networking Specialist,222 N Sepulveda Blvd Ste 150,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Storage Specialist,"El Segundo, CA 90245",,,,
,,Infrastructure Specialist,-2185309,,,,
,,Hyper-converged Specialist,sales@pcm.com,,,,
,,HPE Security - Data Security Specialist - Silver,Visit Website,,,,
,,Server Specialist,,,,,
Trace3,PLATINUM Partner,Storage Specialist - Gold,PO Box 843000,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Service Specialist - Gold,"Los Angeles, CA 90084-3000",,,,
,,Server Specialist - Gold,-3333248,,,,
,,,jatwater@trace3.com,,,,
,,,Visit Website,,,,
Dynamic Systems Inc,PLATINUM Partner,Storage Specialist - Silver,124 Maryland St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,Service Specialist - Silver,"El Segundo, CA 90245",,,,
,,Server Specialist - Silver,-3374709,,,,
,,,erin.ballew@dynamicsystemsinc.com,,,,
,,,Visit Website,,,,
IMPRES Technology Solutions Inc,PLATINUM Partner,Server Specialist - Silver,10330 Pioneer Blvd Ste 280,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,,"Santa Fe Springs, CA 90670-8226",,,,
,,,-2984591,,,,
,,,RFU@IMPRESTECHNOLOGY.COM,,,,
,,,Visit Website,,,,
Databit Inc,PLATINUM Partner,,136 N Poinsettia Pl,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,,"Los Angeles, CA 90036",,,,
,,,-6349679,,,,
,,,Visit Website,,,,
DI Technology Group,PLATINUM Partner,,17418 STUDEBAKER RD,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,,"CERRITOS, CA 90703",,,,
,,,+1-562-2079050 X222,,,,
,,,jcmele@dataimpressions.com,,,,
,,,Visit Website,,,,
Liberty Paper,PLATINUM Partner,,5025 Hampton St,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,,"Los Angeles, CA 90058",,,,
,,,-5823722,,,,
,,,joseph@libertypp.com,,,,
,,,Visit Website,,,,
Staples,PLATINUM Partner,,3090 E Slauson Ave,-7649619,Bill_Wyckoff@shi.com,United States of America ,90001
,,,"Huntington Park, CA 90255-3138",,,,
,,,-2774028,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
RebootTwice LLC,BUSINESS Partner,,8851 Baring Cross StUnit 1,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, 90044",,,,
,,,-8319769,,,,
,,,sales@reboottwice.com,,,,
,,,Visit Website,,,,
Megagoods Inc,BUSINESS Partner,,2931 S Alameda St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90058-1326",,,,
,,,-7888417,,,,
,,,jeffblinder@megagoods.com,,,,
,,,Visit Website,,,,
TJIBE Inc,BUSINESS Partner,,6050 S Western AveSte 112,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90047",,,,
,,,-5019133,,,,
,,,babatunsin@tjibey.com,,,,
,,,Visit Website,,,,
Usc Computer Store,BUSINESS Partner,,840 Childs Way,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90089",,,,
,,,-7407904,,,,
,,,sarah@bookstore.usc.edu,,,,
,,,Visit Website,,,,
LaserCare Technologies Inc,BUSINESS Partner,,2202 S Figueroa St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90007",,,,
,,,-5274519,,,,
,,,Visit Website,,,,
DAVTECH Computer Center,BUSINESS Partner,,730 E 9th St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90021",,,,
,,,-4474130,,,,
,,,Visit Website,,,,
TAJ Office & School Supply,BUSINESS Partner,,11333 Atlantic Ave,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Lynwood, CA 90262",,,,
,,,-7635381,,,,
,,,tamana@tajoffice.com,,,,
,,,Visit Website,,,,
C&O IT Solutions,BUSINESS Partner,,8612 S 11th Ave,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Inglewood, CA 90305",,,,
,,,-9292970,,,,
,,,chuck@co-itsolutions.com,,,,
,,,Visit Website,,,,
Systematic Office Supply,BUSINESS Partner,,608 Mateo St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90021",,,,
,,,-6268333,,,,
,,,craigr@ordersos.com,,,,
,,,Visit Website,,,,
Staples,BUSINESS Partner,,1701 S Figueroa St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90015-3419",,,,
,,,-7466542,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
Maxwee Technologies,BUSINESS Partner,,1492 W 36th St,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90018",,,,
,,,-3452275,,,,
,,,erickvillalta@maxwee.com,,,,
,,,Visit Website,,,,
Read Abd Company,BUSINESS Partner,,727 Venice Blvd,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90015",,,,
,,,-5648122,,,,
,,,vrios@readinkjet.com,,,,
,,,Visit Website,,,,
Siemens IT Solutions and Services Inc,BUSINESS Partner,,1149 S Broadway B Dock BSB Entex,-8319769,sales@reboottwice.com,United States of America ,90001
,,,"Los Angeles, CA 90015",,,,
,,,-8224050,,,,
,,,Visit Website,,,,
